Problem ID:                                0
Starting State:                            (0, 0)
Goal State:                                (7, 4)
Reward Hole:                                -1.0
Number of Episodes:                         50000
Max Number of Iterations per Episode:       1000
Max Number of Iterations from Episodes:     1000
Min Number of Iterations from Episodes:     7
Max Number of Iterations to Reach the Goal: N/A
Min Number of Iterations to Reach the Goal: N/A
Covariance of Rewards:                      0.0001163546199714709
Max Mean Reward:                            0.0
Min Mean Reward:                            -0.14285714285714285
Number of Times The Agent Reached The Goal: 0/50000
State    	 Value itr 	 Q learning 	 Diff     
0: 	 +0.007 	 +0.000 	 +0.00696
1: 	 +0.009 	 +0.000 	 +0.00930
2: 	 +0.012 	 +0.000 	 +0.01246
3: 	 +0.017 	 +0.000 	 +0.01654
4: 	 +0.021 	 -1000.000 	 +1000.02051
5: 	 +0.000 	 -1000.000 	 +1000.00000
6: 	 +0.031 	 -1000.000 	 +1000.03120
7: 	 +0.032 	 -1000.000 	 +1000.03231
8: 	 +0.007 	 +0.000 	 +0.00694
9: 	 +0.009 	 +0.000 	 +0.00925
10: 	 +0.013 	 +0.000 	 +0.01254
11: 	 +0.018 	 +0.000 	 +0.01812
12: 	 +0.031 	 -1000.000 	 +1000.03133
13: 	 +0.034 	 -1000.000 	 +1000.03429
14: 	 +0.041 	 -1000.000 	 +1000.04051
15: 	 +0.043 	 -1000.000 	 +1000.04312
16: 	 +0.007 	 +0.000 	 +0.00691
17: 	 +0.009 	 +0.000 	 +0.00903
18: 	 +0.011 	 +0.000 	 +0.01125
19: 	 +0.000 	 -1.000 	 +1.00000
20: 	 +0.050 	 -1000.000 	 +1000.04967
21: 	 +0.042 	 -1000.000 	 +1000.04248
22: 	 +0.058 	 -1000.000 	 +1000.05766
23: 	 +0.060 	 -1000.000 	 +1000.06013
24: 	 +0.007 	 +0.000 	 +0.00707
25: 	 +0.010 	 +0.000 	 +0.00961
26: 	 +0.016 	 +0.000 	 +0.01595
27: 	 +0.032 	 +0.000 	 +0.03232
28: 	 +0.092 	 -1000.000 	 +1000.09179
29: 	 +0.000 	 -1000.000 	 +1000.00000
30: 	 +0.090 	 -1000.000 	 +1000.08962
31: 	 +0.083 	 -1000.000 	 +1000.08267
32: 	 +0.006 	 +0.000 	 +0.00589
33: 	 +0.007 	 +0.000 	 +0.00668
34: 	 +0.007 	 +0.000 	 +0.00679
35: 	 +0.000 	 -1.000 	 +1.00000
36: 	 +0.224 	 -1000.000 	 +1000.22402
37: 	 +0.335 	 -1000.000 	 +1000.33524
38: 	 +0.158 	 -1000.000 	 +1000.15844
39: 	 +0.103 	 -1000.000 	 +1000.10332
40: 	 +0.004 	 +0.000 	 +0.00390
41: 	 +0.000 	 -1.000 	 +1.00000
42: 	 +0.000 	 -1.000 	 +1.00000
43: 	 +0.107 	 -1000.000 	 +1000.10669
44: 	 +0.320 	 -1000.000 	 +1000.31972
45: 	 +0.735 	 -1000.000 	 +1000.73505
46: 	 +0.000 	 -1000.000 	 +1000.00000
47: 	 +0.054 	 -1000.000 	 +1000.05423
48: 	 +0.003 	 +0.000 	 +0.00323
49: 	 +0.000 	 -1.000 	 +1.00000
50: 	 +0.013 	 +0.000 	 +0.01308
51: 	 +0.036 	 -1000.000 	 +1000.03593
52: 	 +0.000 	 -1000.000 	 +1000.00000
53: 	 +1.795 	 -1000.000 	 +1001.79528
54: 	 +0.000 	 -1000.000 	 +1000.00000
55: 	 +0.023 	 -1000.000 	 +1000.02324
56: 	 +0.004 	 +0.000 	 +0.00364
57: 	 +0.005 	 +0.000 	 +0.00485
58: 	 +0.008 	 +0.000 	 +0.00769
59: 	 +0.000 	 -1000.000 	 +1000.00000
60: 	 +9.999 	 -1000.000 	 +1009.99896
61: 	 +5.249 	 -1000.000 	 +1005.24930
62: 	 +2.250 	 -1000.000 	 +1002.24965
63: 	 +0.000 	 -1000.000 	 +1000.00000

Max norm: 1009.99896
2-norm  : 35044334.41293
