Problem ID:                                5
Starting State:                            (0, 5)
Goal State:                                (7, 3)
Reward Hole:                                -1.5
Number of Episodes:                         2500
Max Number of Iterations per Episode:       250
Max Number of Iterations from Episodes:     250
Min Number of Iterations from Episodes:     5
Max Number of Iterations to Reach the Goal: 120
Min Number of Iterations to Reach the Goal: 120
Covariance of Rewards:                      0.0007776723979964978
Max Mean Reward:                            0.01652892561983471
Min Mean Reward:                            -0.5
Number of Times The Agent Reached The Goal: 1/2500
Episodes Where Goal Was Reached: 148,
State    	 Value itr 	 Q learning 	 Diff     
0: 	 +0.000 	 +0.000 	 +0.00000
1: 	 +0.084 	 -0.273 	 +0.35695
2: 	 +0.077 	 -0.336 	 +0.41234
3: 	 +0.061 	 -0.111 	 +0.17233
4: 	 +0.053 	 -0.122 	 +0.17521
5: 	 +0.046 	 -0.164 	 +0.21088
6: 	 +0.043 	 -0.178 	 +0.22158
7: 	 +0.042 	 -0.160 	 +0.20106
8: 	 +0.140 	 -0.595 	 +0.73501
9: 	 +0.120 	 -0.433 	 +0.55289
10: 	 +0.095 	 -0.072 	 +0.16670
11: 	 +0.066 	 -0.279 	 +0.34532
12: 	 +0.064 	 -0.177 	 +0.24036
13: 	 +0.055 	 -0.071 	 +0.12602
14: 	 +0.054 	 -0.086 	 +0.14045
15: 	 +0.054 	 -0.131 	 +0.18491
16: 	 +0.208 	 -0.610 	 +0.81741
17: 	 +0.165 	 -0.587 	 +0.75260
18: 	 +0.120 	 -0.490 	 +0.60983
19: 	 +0.000 	 +0.000 	 +0.00000
20: 	 +0.092 	 -0.253 	 +0.34456
21: 	 +0.066 	 -0.338 	 +0.40339
22: 	 +0.072 	 -0.200 	 +0.27247
23: 	 +0.071 	 -0.168 	 +0.23934
24: 	 +0.320 	 +0.000 	 +0.31958
25: 	 +0.223 	 -1.078 	 +1.30090
26: 	 +0.139 	 -0.314 	 +0.45218
27: 	 +0.094 	 -0.279 	 +0.37361
28: 	 +0.176 	 -0.590 	 +0.76611
29: 	 +0.000 	 +0.000 	 +0.00000
30: 	 +0.104 	 -0.619 	 +0.72289
31: 	 +0.095 	 -0.131 	 +0.22557
32: 	 +0.523 	 +0.000 	 +0.52267
33: 	 +0.260 	 -0.368 	 +0.62733
34: 	 +0.119 	 -1.290 	 +1.40941
35: 	 +0.000 	 +0.000 	 +0.00000
36: 	 +0.402 	 -0.698 	 +1.09986
37: 	 +0.375 	 -0.782 	 +1.15721
38: 	 +0.179 	 -0.122 	 +0.30047
39: 	 +0.117 	 -0.496 	 +0.61362
40: 	 +0.900 	 +0.000 	 +0.90023
41: 	 +0.000 	 +0.000 	 +0.00000
42: 	 +0.000 	 +0.000 	 +0.00000
43: 	 +1.553 	 +0.000 	 +1.55301
44: 	 +0.787 	 +0.000 	 +0.78749
45: 	 +0.670 	 +0.000 	 +0.67035
46: 	 +0.000 	 +0.000 	 +0.00000
47: 	 +0.061 	 -0.565 	 +0.62621
48: 	 +1.578 	 +0.000 	 +1.57816
49: 	 +0.000 	 +0.000 	 +0.00000
50: 	 +3.079 	 +0.000 	 +3.07931
51: 	 +4.389 	 +0.000 	 +4.38932
52: 	 +0.000 	 +0.000 	 +0.00000
53: 	 +1.072 	 +0.000 	 +1.07189
54: 	 +0.000 	 +0.000 	 +0.00000
55: 	 +0.026 	 -1.290 	 +1.31633
56: 	 +2.782 	 +0.000 	 +2.78246
57: 	 +3.710 	 +0.000 	 +3.71030
58: 	 +5.875 	 +0.000 	 +5.87524
59: 	 +9.999 	 +0.000 	 +9.99896
60: 	 +5.529 	 +0.860 	 +4.66917
61: 	 +2.903 	 +0.000 	 +2.90270
62: 	 +1.244 	 +0.000 	 +1.24398
63: 	 +0.000 	 +0.000 	 +0.00000

Max norm: 9.99896
2-norm : 239.18432
