Problem ID:                                6
Starting State:                            (0, 6)
Goal State:                                (7, 2)
Reward Hole:                                -1.5
Number of Episodes:                         2500
Max Number of Iterations per Episode:       250
Max Number of Iterations from Episodes:     250
Min Number of Iterations from Episodes:     1
Max Number of Iterations to Reach the Goal: 236
Min Number of Iterations to Reach the Goal: 13
Covariance of Rewards:                      0.0026085214431756784
Max Mean Reward:                            0.14285714285714285
Min Mean Reward:                            -1.5
Number of Times The Agent Reached The Goal: 32/2500
Episodes Where Goal Was Reached: 99, 118, 126, 215, 227, 255, 379, 465, 534, 554, 659,
                                   828, 879, 930, 1042, 1073, 1084, 1095, 1163, 1269, 1387,
                                   1413, 1472, 1526, 1762, 1862, 1959, 2007, 2217, 2317, 2405,
                                   2413,
State    	 Value itr 	 Q learning 	 Diff     
0: 	 +0.000 	 +0.000 	 +0.00000
1: 	 +0.144 	 -0.563 	 +0.70692
2: 	 +0.131 	 -0.615 	 +0.74551
3: 	 +0.098 	 -0.399 	 +0.49652
4: 	 +0.070 	 -0.509 	 +0.57815
5: 	 +0.000 	 +0.000 	 +0.00000
6: 	 +0.016 	 -0.407 	 +0.42282
7: 	 +0.014 	 -0.445 	 +0.45946
8: 	 +0.239 	 -0.546 	 +0.78529
9: 	 +0.205 	 -0.396 	 +0.60038
10: 	 +0.162 	 -0.057 	 +0.21846
11: 	 +0.097 	 -0.343 	 +0.44063
12: 	 +0.065 	 -0.623 	 +0.68760
13: 	 +0.036 	 -0.720 	 +0.75648
14: 	 +0.023 	 -0.288 	 +0.31032
15: 	 +0.017 	 -0.275 	 +0.29189
16: 	 +0.354 	 -0.254 	 +0.60742
17: 	 +0.282 	 -0.098 	 +0.37921
18: 	 +0.204 	 -0.312 	 +0.51607
19: 	 +0.000 	 +0.000 	 +0.00000
20: 	 +0.050 	 -0.566 	 +0.61602
21: 	 +0.033 	 -0.381 	 +0.41306
22: 	 +0.023 	 -0.269 	 +0.29186
23: 	 +0.017 	 -0.425 	 +0.44269
24: 	 +0.544 	 +0.000 	 +0.54431
25: 	 +0.380 	 -0.585 	 +0.96576
26: 	 +0.236 	 -0.226 	 +0.46248
27: 	 +0.091 	 -1.290 	 +1.38130
28: 	 +0.068 	 -0.375 	 +0.44310
29: 	 +0.000 	 +0.000 	 +0.00000
30: 	 +0.021 	 -0.598 	 +0.61931
31: 	 +0.018 	 -0.452 	 +0.46974
32: 	 +0.890 	 +0.000 	 +0.88998
33: 	 +0.442 	 -1.015 	 +1.45677
34: 	 +0.203 	 -1.290 	 +1.49345
35: 	 +0.000 	 +0.000 	 +0.00000
36: 	 +0.086 	 -0.478 	 +0.56490
37: 	 +0.057 	 -0.935 	 +0.99236
38: 	 +0.029 	 -0.654 	 +0.68301
39: 	 +0.020 	 -0.481 	 +0.50104
40: 	 +1.533 	 +0.000 	 +1.53257
41: 	 +0.000 	 +0.000 	 +0.00000
42: 	 +0.000 	 +0.000 	 +0.00000
43: 	 +0.384 	 -1.290 	 +1.67353
44: 	 +0.163 	 -0.881 	 +1.04396
45: 	 +0.074 	 -0.732 	 +0.80609
46: 	 +0.000 	 +0.000 	 +0.00000
47: 	 +0.011 	 -1.027 	 +1.03724
48: 	 +2.686 	 +0.000 	 +2.68630
49: 	 +0.000 	 +0.000 	 +0.00000
50: 	 +3.334 	 +0.860 	 +2.47424
51: 	 +1.115 	 -1.290 	 +2.40531
52: 	 +0.000 	 +0.000 	 +0.00000
53: 	 +0.026 	 -1.290 	 +1.31631
54: 	 +0.000 	 +0.000 	 +0.00000
55: 	 +0.004 	 -1.290 	 +1.29450
56: 	 +4.736 	 +0.000 	 +4.73580
57: 	 +6.315 	 +0.000 	 +6.31474
58: 	 +9.999 	 +0.000 	 +9.99896
59: 	 +0.000 	 +0.000 	 +0.00000
60: 	 +0.006 	 -1.290 	 +1.29591
61: 	 +0.014 	 -1.179 	 +1.19286
62: 	 +0.006 	 -1.078 	 +1.08358
63: 	 +0.000 	 +0.000 	 +0.00000

Max norm: 9.99896
2-norm : 214.45585
